articulo_codigo,vehiculo_marca,vehiculo_modelo,vehiculo_anio_desde,vehiculo_anio_hasta,origen,confirmado,nota
W719/80,Volkswagen,Gol Trend,2013,2019,manual,1,OEM 030115561AN
W719/80,Volkswagen,Amarok,2011,2022,extraido_ia,0,"Sugerido por catálogo, verificar rosca"
C25114,Volkswagen,Gol Trend,2013,2019,manual,1,
CU2545,Volkswagen,Gol Trend,2013,2019,manual,1,
WK814/1,Toyota,Hilux,2016,2023,manual,1,Diesel 2.8
W719/80,Toyota,Etios,2013,2021,extraido_ia,0,
BKR6E,Toyota,Etios,2013,2021,manual,1,
BKR6E,Chevrolet,Corsa Classic,2009,2016,manual,1,
FR7DC,Volkswagen,Gol Trend,2013,2019,extraido_ia,0,Alternativa a bujía original
FDB1617,Volkswagen,Gol Trend,2013,2019,manual,1,Freno delantero
FDB1617,Chevrolet,Onix,2016,2023,extraido_ia,0,
N1055,Fiat,Cronos,2018,2024,manual,1,
G16789,Volkswagen,Gol Trend,2013,2019,manual,1,
30125,Volkswagen,Gol Trend,2013,2019,manual,1,Eje trasero
KYB334,Ford,Ka,2015,2021,extraido_ia,0,
5PK1123,Chevrolet,Corsa Classic,2009,2016,manual,1,
94048,Ford,Ranger,2013,2022,manual,1,Kit completo con tensor
ELAION-F30,Volkswagen,Gol Trend,2013,2019,manual,1,Servicio 10.000 km
ELAION-F30,Fiat,Cronos,2018,2024,extraido_ia,0,
6204-2RS,Renault,Kangoo,2010,2018,extraido_ia,0,"Rodamiento genérico, confirmar medida"
VKBA3550,Peugeot,208,2013,2020,manual,1,
H4-12V,Chevrolet,Corsa Classic,2009,2016,manual,1,
H7-12V,Volkswagen,Gol Trend,2013,2019,manual,1,Luz baja
H7-12V,Renault,Clio,2012,2016,extraido_ia,0,
JFC186,Toyota,Hilux,2016,2023,extraido_ia,0,
JFC186,Volkswagen,Amarok,2011,2022,extraido_ia,0,
WO1071,Volkswagen,Amarok,2011,2022,manual,1,
FR8DC,Volkswagen,Saveiro,2010,2021,extraido_ia,0,
CU2343,Chevrolet,S10,2012,2022,extraido_ia,0,
CU2343,Renault,Stepway,2016,2023,manual,1,
FR5DC,Toyota,Corolla,2014,2019,extraido_ia,0,
PH9146,Toyota,Yaris,2018,2024,manual,1,
PH9146,Fiat,Argo,2018,2024,manual,1,
PH9146,Renault,Oroch,2018,2023,manual,1,
PH4970,Fiat,Siena,2010,2016,manual,1,
PH4970,Chevrolet,S10,2012,2022,extraido_ia,0,
PH6176,Renault,Sandero,2015,2022,extraido_ia,0,
PH6176,Citroën,C3,2012,2020,manual,1,
OC126,Volkswagen,Amarok,2011,2022,extraido_ia,0,
LX1809,Chevrolet,Agile,2009,2016,manual,1,
LX1809,Fiat,Argo,2018,2024,extraido_ia,0,
CA4802,Volkswagen,Fox,2010,2018,manual,1,
CA4802,Renault,Kangoo,2010,2018,manual,1,
PH6002,Fiat,Uno,2011,2020,manual,1,
CA6925,Volkswagen,Amarok,2011,2022,extraido_ia,0,
WO5217,Fiat,Mobi,2017,2023,manual,1,
C1361,Renault,Stepway,2016,2023,extraido_ia,0,
C1361,Volkswagen,Amarok,2011,2022,manual,1,
PH3123,Fiat,Mobi,2017,2023,extraido_ia,0,
PH3123,Nissan,Kicks,2017,2023,manual,1,
JFC375,Ford,Focus,2013,2019,extraido_ia,0,
PH8939,Chevrolet,Tracker,2013,2020,manual,1,
PH8939,Chevrolet,Onix,2016,2023,manual,1,
JFC856,Volkswagen,Gol Power,2009,2013,extraido_ia,0,
OC612,Ford,EcoSport,2013,2021,extraido_ia,0,
OC612,Nissan,Kicks,2017,2023,extraido_ia,0,
OC612,Chevrolet,Agile,2009,2016,manual,1,
PH6693,Peugeot,206,2009,2013,manual,1,
PH6693,Ford,Fiesta,2011,2019,manual,1,
PH6693,Peugeot,2008,2016,2023,extraido_ia,0,
CU3070,Chevrolet,S10,2012,2022,manual,1,
CU3070,Volkswagen,Amarok,2011,2022,manual,1,
WK122,Citroën,Berlingo,2012,2020,extraido_ia,0,
WK122,Ford,Fiesta,2011,2019,manual,1,
WK122,Volkswagen,Fox,2010,2018,extraido_ia,0,
PH6778,Toyota,Yaris,2018,2024,manual,1,
JFC265,Fiat,Argo,2018,2024,extraido_ia,0,
JFC265,Nissan,Frontier,2016,2023,extraido_ia,0,
JFC265,Chevrolet,Agile,2009,2016,manual,1,
WO5849,Ford,Territory,2021,2024,manual,1,
WO5849,Volkswagen,Gol Power,2009,2013,manual,1,
C2437,Ford,Fiesta,2011,2019,manual,1,
C2437,Volkswagen,Amarok,2011,2022,manual,1,
JFC486,Fiat,Argo,2018,2024,extraido_ia,0,
JFC486,Fiat,Uno,2011,2020,extraido_ia,0,
JFC486,Volkswagen,Saveiro,2010,2021,manual,1,
JFC478,Peugeot,207 Compact,2011,2016,extraido_ia,0,
CA4438,Volkswagen,Saveiro,2010,2021,extraido_ia,0,
LX1733,Volkswagen,Vento,2011,2018,extraido_ia,0,
LX1733,Renault,Oroch,2018,2023,manual,1,
LX1733,Chevrolet,Prisma,2013,2019,manual,1,
WO2187,Chevrolet,Cruze,2016,2023,extraido_ia,0,
PH9262,Volkswagen,Polo,2018,2024,extraido_ia,0,
CU3443,Renault,Logan,2014,2021,extraido_ia,0,
CU3443,Chevrolet,Onix,2016,2023,manual,1,
CU3443,Volkswagen,Fox,2010,2018,extraido_ia,0,
0986AF3336,Renault,Logan,2014,2021,extraido_ia,0,
LX2770,Chevrolet,Spin,2013,2020,manual,1,
LX2770,Chevrolet,Onix,2016,2023,extraido_ia,0,
JFC157,Fiat,Cronos,2018,2024,manual,1,
JFC157,Chevrolet,Spin,2013,2020,extraido_ia,0,
OC882,Renault,Clio,2012,2016,extraido_ia,0,
OC882,Ford,EcoSport,2013,2021,manual,1,
JFC848,Ford,Ranger,2013,2022,extraido_ia,0,
WO1456,Toyota,SW4,2016,2023,manual,1,
WO1456,Ford,EcoSport,2013,2021,manual,1,
JFC918,Volkswagen,Polo,2018,2024,extraido_ia,0,
JFC918,Citroën,C4 Lounge,2014,2020,extraido_ia,0,
WK671,Renault,Stepway,2016,2023,manual,1,
WK671,Fiat,Argo,2018,2024,manual,1,
LX192,Citroën,C4 Lounge,2014,2020,manual,1,
LX2423,Citroën,C4 Lounge,2014,2020,manual,1,
LX2423,Renault,Kangoo,2010,2018,manual,1,
LX2423,Citroën,C3,2012,2020,manual,1,
C2827,Renault,Oroch,2018,2023,manual,1,
C1881,Chevrolet,S10,2012,2022,extraido_ia,0,
CA7161,Ford,Ka,2015,2021,manual,1,
WO9666,Peugeot,308,2013,2020,manual,1,
WO8921,Renault,Master,2015,2023,extraido_ia,0,
WO8921,Ford,EcoSport,2013,2021,manual,1,
WO8921,Chevrolet,Prisma,2013,2019,manual,1,
LX1666,Renault,Master,2015,2023,manual,1,
LX1666,Fiat,Cronos,2018,2024,extraido_ia,0,
LX1666,Volkswagen,Saveiro,2010,2021,manual,1,
WO9417,Volkswagen,Polo,2018,2024,manual,1,
OC704,Chevrolet,Prisma,2013,2019,manual,1,
OC704,Fiat,Mobi,2017,2023,manual,1,
0986TB6735,Volkswagen,Gol Trend,2013,2019,extraido_ia,0,
0986TB6735,Peugeot,207 Compact,2011,2016,extraido_ia,0,
LX254,Chevrolet,Tracker,2013,2020,manual,1,
LX254,Peugeot,Partner,2012,2020,manual,1,
LX254,Toyota,Hilux,2016,2023,manual,1,
JFC474,Fiat,Toro,2016,2023,manual,1,
JFC474,Toyota,Corolla,2014,2019,extraido_ia,0,
JFC474,Chevrolet,S10,2012,2022,manual,1,
PH3162,Citroën,Berlingo,2012,2020,extraido_ia,0,
PH3162,Fiat,Strada,2014,2020,extraido_ia,0,
CA7441,Volkswagen,Gol Power,2009,2013,extraido_ia,0,
CA7441,Chevrolet,Prisma,2013,2019,manual,1,
PH5979,Renault,Sandero,2015,2022,extraido_ia,0,
PH5979,Peugeot,208,2013,2020,manual,1,
PH5979,Renault,Oroch,2018,2023,extraido_ia,0,
JFC637,Ford,Territory,2021,2024,extraido_ia,0,
LX2433,Chevrolet,S10,2012,2022,manual,1,
W873/61,Toyota,Hilux,2016,2023,manual,1,
W873/61,Volkswagen,Gol Power,2009,2013,manual,1,
CA6172,Fiat,Toro,2016,2023,extraido_ia,0,
JFC968,Renault,Duster,2012,2022,extraido_ia,0,
JFC968,Peugeot,Partner,2012,2020,manual,1,
JFC968,Nissan,Versa,2015,2022,manual,1,
WO7486,Renault,Duster,2012,2022,manual,1,
WO7486,Renault,Logan,2014,2021,extraido_ia,0,
LX3195,Peugeot,308,2013,2020,manual,1,
LX3195,Renault,Stepway,2016,2023,extraido_ia,0,
CA3233,Nissan,Frontier,2016,2023,manual,1,
CA3233,Peugeot,Partner,2012,2020,extraido_ia,0,
