codigo,detalle,costo,alicuota_iva,punto_pedido,marca,rubro,codigo_barra
W719/80,FILTRO DE ACEITE MANN W719/80,9800,21,6,Mann,FILTROS,7791234500011
PH5566,FILTRO DE ACEITE FRAM PH5566,7200,21,8,Fram,FILTROS,7791234500028
C25114,FILTRO DE AIRE MANN C25114,14500,21,4,Mann,FILTROS,7791234500035
WK814/1,FILTRO DE COMBUSTIBLE MANN WK814/1,18200,21,3,Mann,FILTROS,7791234500042
CU2545,FILTRO DE HABITACULO MANN CU2545,12800,21,5,Mann,FILTROS,7791234500059
5PK1123,CORREA POLY-V GATES 5PK1123,15600,21,4,Gates,CORREAS,7791234500066
94048,KIT DISTRIBUCION DAYCO 94048,89400,21,2,Dayco,CORREAS,7791234500073
BKR6E,BUJIA NGK BKR6E,4200,21,24,NGK,ENCENDIDO,7791234500080
FR7DC,BUJIA BOSCH FR7DC+,4800,21,16,Bosch,ENCENDIDO,7791234500097
FDB1617,PASTILLA FRENO DELANT FERODO FDB1617,32500,21,4,Ferodo,FRENOS,7791234500103
N1055,PASTILLA FRENO COBREQ N1055,24800,21,5,Cobreq,FRENOS,7791234500110
G16789,AMORTIGUADOR DELANT MONROE G16789,68900,21,2,Monroe,SUSPENSION,7791234500127
30125,AMORTIGUADOR TRASERO SADAR 30125,52300,21,2,Sadar,SUSPENSION,7791234500134
ELAION-F30,ACEITE YPF ELAION F30 5W30 X4L,38500,21,6,YPF,LUBRICANTES,7791234500141
HELIX-HX7,ACEITE SHELL HELIX HX7 10W40 X4L,41200,21,5,Shell,LUBRICANTES,7791234500158
6204-2RS,RODAMIENTO SKF 6204 2RS,6800,21,12,SKF,RODAMIENTOS,7791234500165
VKBA3550,MAZA RUEDA C/RODAMIENTO SKF VKBA3550,45600,21,3,SKF,RODAMIENTOS,7791234500172
H4-12V,LAMPARA OSRAM H4 12V 60/55W,3900,21,24,Osram,ILUMINACION,7791234500189
H7-12V,LAMPARA PHILIPS H7 12V 55W,4300,21,20,Philips,ILUMINACION,7791234500196
KYB334,ESPIRAL SUSPENSION KYB RA3341,27800,21,3,KYB,SUSPENSION,7791234500202
CA6017,FILTRO DE COMBUSTIBLE FRAM CA6017,15100,21,10,Fram,FILTROS,7792000000001
JFC186,FILTRO DE ACEITE WEGA JFC186,8800,21,12,Wega,FILTROS,7792000000002
WO1071,FILTRO DE COMBUSTIBLE WEGA WO1071,8400,21,20,Wega,FILTROS,7792000000003
OC440,FILTRO DE ACEITE MAHLE OC440,21400,21,10,Mahle,FILTROS,7792000000004
W830/63,FILTRO DE COMBUSTIBLE MANN W830/63,11800,21,10,Mann,FILTROS,7792000000005
0986B02369,FILTRO DE AIRE BOSCH 0986B02369,7700,21,20,Bosch,FILTROS,7792000000006
FR8DC,FILTRO DE AIRE BOSCH FR8DC,18300,21,6,Bosch,FILTROS,7792000000007
JFC467,FILTRO DE COMBUSTIBLE WEGA JFC467,9300,21,16,Wega,FILTROS,7792000000008
0986B06855,FILTRO DE HABITACULO BOSCH 0986B06855,5700,21,24,Bosch,FILTROS,7792000000009
LX1693,FILTRO DE AIRE MAHLE LX1693,14600,21,10,Mahle,FILTROS,7792000000010
CU3145,FILTRO DE COMBUSTIBLE MANN CU3145,17100,21,8,Mann,FILTROS,7792000000011
0986TB7651,FILTRO DE AIRE BOSCH 0986TB7651,20100,21,6,Bosch,FILTROS,7792000000012
JFC304,FILTRO DE AIRE WEGA JFC304,13500,21,10,Wega,FILTROS,7792000000013
LX1170,FILTRO DE HABITACULO MAHLE LX1170,15300,21,10,Mahle,FILTROS,7792000000014
C1280,FILTRO DE HABITACULO MANN C1280,13600,21,10,Mann,FILTROS,7792000000015
LX2427,FILTRO DE HABITACULO MAHLE LX2427,12200,21,6,Mahle,FILTROS,7792000000016
JFC949,FILTRO DE AIRE WEGA JFC949,14200,21,8,Wega,FILTROS,7792000000017
CU2343,FILTRO DE ACEITE MANN CU2343,5700,21,16,Mann,FILTROS,7792000000018
WO2214,FILTRO DE COMBUSTIBLE WEGA WO2214,18100,21,10,Wega,FILTROS,7792000000019
LX416,FILTRO DE COMBUSTIBLE MAHLE LX416,15400,21,10,Mahle,FILTROS,7792000000020
WO5651,FILTRO DE HABITACULO WEGA WO5651,13100,21,8,Wega,FILTROS,7792000000021
FR5DC,FILTRO DE ACEITE BOSCH FR5DC,20000,21,10,Bosch,FILTROS,7792000000022
CA3800,FILTRO DE HABITACULO FRAM CA3800,18400,21,10,Fram,FILTROS,7792000000023
CA5601,FILTRO DE AIRE FRAM CA5601,14500,21,8,Fram,FILTROS,7792000000024
WO2706,FILTRO DE AIRE WEGA WO2706,13400,21,8,Wega,FILTROS,7792000000025
W872/61,FILTRO DE HABITACULO MANN W872/61,13000,21,10,Mann,FILTROS,7792000000026
FR6DC,FILTRO DE COMBUSTIBLE BOSCH FR6DC,6200,21,16,Bosch,FILTROS,7792000000027
PH9146,FILTRO DE HABITACULO FRAM PH9146,11100,21,8,Fram,FILTROS,7792000000028
PH4970,FILTRO DE AIRE FRAM PH4970,13400,21,10,Fram,FILTROS,7792000000029
WO1998,FILTRO DE ACEITE WEGA WO1998,17500,21,10,Wega,FILTROS,7792000000030
PH9330,FILTRO DE ACEITE FRAM PH9330,20500,21,6,Fram,FILTROS,7792000000031
0986B04326,FILTRO DE AIRE BOSCH 0986B04326,17600,21,8,Bosch,FILTROS,7792000000032
PH6176,FILTRO DE HABITACULO FRAM PH6176,15700,21,10,Fram,FILTROS,7792000000033
CA7626,FILTRO DE AIRE FRAM CA7626,20100,21,10,Fram,FILTROS,7792000000034
WO8962,FILTRO DE COMBUSTIBLE WEGA WO8962,17100,21,8,Wega,FILTROS,7792000000035
OC126,FILTRO DE HABITACULO MAHLE OC126,9800,21,24,Mahle,FILTROS,7792000000036
JFC884,FILTRO DE HABITACULO WEGA JFC884,21100,21,8,Wega,FILTROS,7792000000037
LX1809,FILTRO DE COMBUSTIBLE MAHLE LX1809,11500,21,6,Mahle,FILTROS,7792000000038
LX2402,FILTRO DE COMBUSTIBLE MAHLE LX2402,15900,21,10,Mahle,FILTROS,7792000000039
CA4802,FILTRO DE HABITACULO FRAM CA4802,12600,21,8,Fram,FILTROS,7792000000040
WK780,FILTRO DE COMBUSTIBLE MANN WK780,7100,21,12,Mann,FILTROS,7792000000041
WK436,FILTRO DE COMBUSTIBLE MANN WK436,9700,21,20,Mann,FILTROS,7792000000042
JFC196,FILTRO DE AIRE WEGA JFC196,14800,21,8,Wega,FILTROS,7792000000043
LX665,FILTRO DE HABITACULO MAHLE LX665,8500,21,20,Mahle,FILTROS,7792000000044
PH6002,FILTRO DE ACEITE FRAM PH6002,9600,21,12,Fram,FILTROS,7792000000045
CU2892,FILTRO DE COMBUSTIBLE MANN CU2892,19800,21,6,Mann,FILTROS,7792000000046
