codigo,razon_social,cuit,telefono,email
P01,Distribuidora Autopartes del Litoral SA,30-71044569-5,0342-4551200,ventas@autolitoral.com.ar
P02,Repuestos y Filtros Córdoba SRL,30-68522345-3,0351-4889077,pedidos@rfcordoba.com.ar
P03,Importadora Rodamientos del Sur SA,33-70912888-9,011-47125566,info@rodasur.com.ar
P04,Lubricantes y Accesorios Rosario SRL,30-64111222-0,0341-4260880,ventas@lubrirosario.com.ar
P05,Bearings y Repuestos SA,30-70588431-1,011-46339900,ventas@bearingsrep.com.ar
P06,Frenos del Centro SRL,30-69477215-9,0351-4712233,pedidos@frenoscentro.com.ar
P07,Suspensiones Pergamino SA,30-71203366-1,02477-421900,ventas@suspergamino.com.ar
P08,Electro Baterías Rosario SRL,30-65488120-7,0341-4551800,info@electrobat.com.ar
P09,Distribuidora Nacional de Filtros SA,33-70744099-1,011-43214455,ventas@dnfiltros.com.ar
P10,Iluminación Automotor SRL,30-68011744-2,0341-4409988,pedidos@iluautomotor.com.ar
P11,Embragues y Transmisiones SA,30-71566082-9,0351-4990011,ventas@embtrans.com.ar
P12,Refrigeración Automotriz del Litoral SRL,30-66922410-5,0342-4560700,info@refriauto.com.ar
P13,Lubricentro Mayorista SA,30-70233158-3,0341-4778800,ventas@lubmayorista.com.ar
P14,Autopartes Buenos Aires SA,33-71890044-7,011-45667788,pedidos@autopartesba.com.ar
P15,Juntas y Retenes del Norte SRL,30-64300921-4,0341-4223311,ventas@juntasnorte.com.ar
P16,Dirección y Tren Delantero SA,30-71100238-9,0351-4880022,info@direcciontren.com.ar
